t, spline
-1.000000, 0.038462
-0.979798, 0.040329
-0.959596, 0.042183
-0.939394, 0.044044
-0.919192, 0.045934
-0.898990, 0.047875
-0.878788, 0.049887
-0.858586, 0.051992
-0.838384, 0.054212
-0.818182, 0.056569
-0.797980, 0.059083
-0.777778, 0.061780
-0.757576, 0.064702
-0.737374, 0.067891
-0.717172, 0.071389
-0.696970, 0.075241
-0.676768, 0.079489
-0.656566, 0.084176
-0.636364, 0.089345
-0.616162, 0.095038
-0.595960, 0.101300
-0.575758, 0.108172
-0.555556, 0.115696
-0.535354, 0.123915
-0.515152, 0.132869
-0.494949, 0.142600
-0.474747, 0.153151
-0.454545, 0.164563
-0.434343, 0.176877
-0.414141, 0.190135
-0.393939, 0.204382
-0.373737, 0.219879
-0.353535, 0.237253
-0.333333, 0.257167
-0.313131, 0.280285
-0.292929, 0.307270
-0.272727, 0.338785
-0.252525, 0.375494
-0.232323, 0.418059
-0.212121, 0.467144
-0.191919, 0.523376
-0.171717, 0.585990
-0.151515, 0.652413
-0.131313, 0.719949
-0.111111, 0.785905
-0.090909, 0.847587
-0.070707, 0.902298
-0.050505, 0.947345
-0.030303, 0.980034
-0.010101, 0.997669
0.010101, 0.997669
0.030303, 0.980034
0.050505, 0.947345
0.070707, 0.902297
0.090909, 0.847586
0.111111, 0.785904
0.131313, 0.719948
0.151515, 0.652412
0.171717, 0.585989
0.191919, 0.523375
0.212121, 0.467144
0.232323, 0.418060
0.252525, 0.375496
0.272727, 0.338788
0.292929, 0.307273
0.313131, 0.280288
0.333333, 0.257170
0.353535, 0.237255
0.373737, 0.219881
0.393939, 0.204383
0.414141, 0.190134
0.434343, 0.176873
0.454545, 0.164556
0.474747, 0.153142
0.494949, 0.142589
0.515152, 0.132857
0.535354, 0.123903
0.555556, 0.115686
0.575758, 0.108165
0.595960, 0.101298
0.616162, 0.095045
0.636364, 0.089361
0.656566, 0.084202
0.676768, 0.079524
0.696970, 0.075283
0.717172, 0.071435
0.737374, 0.067935
0.757576, 0.064740
0.777778, 0.061804
0.797980, 0.059085
0.818182, 0.056541
0.838384, 0.054149
0.858586, 0.051892
0.878788, 0.049754
0.898990, 0.047717
0.919192, 0.045764
0.939394, 0.043880
0.959596, 0.042045
0.979798, 0.040245
1.000000, 0.038462
