t, spline
-1.000000, 0.038462
-0.979798, 0.040096
-0.959596, 0.041750
-0.939394, 0.043455
-0.919192, 0.045247
-0.898990, 0.047158
-0.878788, 0.049217
-0.858586, 0.051435
-0.838384, 0.053817
-0.818182, 0.056372
-0.797980, 0.059105
-0.777778, 0.062027
-0.757576, 0.065161
-0.737374, 0.068530
-0.717172, 0.072162
-0.696970, 0.076078
-0.676768, 0.080311
-0.656566, 0.084899
-0.636364, 0.089885
-0.616162, 0.095312
-0.595960, 0.101223
-0.575758, 0.107670
-0.555556, 0.114728
-0.535354, 0.122476
-0.515152, 0.130993
-0.494949, 0.140356
-0.474747, 0.150674
-0.454545, 0.162117
-0.434343, 0.174859
-0.414141, 0.189077
-0.393939, 0.204944
-0.373737, 0.222676
-0.353535, 0.242549
-0.333333, 0.264847
-0.313131, 0.289852
-0.292929, 0.317852
-0.272727, 0.349259
-0.252525, 0.384679
-0.232323, 0.424732
-0.212121, 0.470037
-0.191919, 0.521192
-0.171717, 0.577862
-0.151515, 0.638506
-0.131313, 0.701502
-0.111111, 0.765227
-0.090909, 0.828019
-0.070707, 0.886966
-0.050505, 0.937740
-0.030303, 0.975934
-0.010101, 0.997142
0.010101, 0.997142
0.030303, 0.975934
0.050505, 0.937740
0.070707, 0.886966
0.090909, 0.828019
0.111111, 0.765227
0.131313, 0.701502
0.151515, 0.638506
0.171717, 0.577862
0.191919, 0.521192
0.212121, 0.470037
0.232323, 0.424732
0.252525, 0.384679
0.272727, 0.349259
0.292929, 0.317852
0.313131, 0.289852
0.333333, 0.264847
0.353535, 0.242549
0.373737, 0.222676
0.393939, 0.204944
0.414141, 0.189077
0.434343, 0.174859
0.454545, 0.162117
0.474747, 0.150674
0.494949, 0.140356
0.515152, 0.130993
0.535354, 0.122476
0.555556, 0.114728
0.575758, 0.107670
0.595960, 0.101223
0.616162, 0.095312
0.636364, 0.089885
0.656566, 0.084899
0.676768, 0.080311
0.696970, 0.076078
0.717172, 0.072161
0.737374, 0.068529
0.757576, 0.065159
0.777778, 0.062026
0.797980, 0.059105
0.818182, 0.056374
0.838384, 0.053821
0.858586, 0.051439
0.878788, 0.049221
0.898990, 0.047158
0.919192, 0.045240
0.939394, 0.043441
0.959596, 0.041731
0.979798, 0.040082
1.000000, 0.038462
