t, spline
-1.000000, 0.038462
-0.979798, 0.040027
-0.959596, 0.041641
-0.939394, 0.043356
-0.919192, 0.045196
-0.898990, 0.047160
-0.878788, 0.049247
-0.858586, 0.051469
-0.838384, 0.053843
-0.818182, 0.056384
-0.797980, 0.059104
-0.777778, 0.062021
-0.757576, 0.065155
-0.737374, 0.068526
-0.717172, 0.072158
-0.696970, 0.076079
-0.676768, 0.080319
-0.656566, 0.084912
-0.636364, 0.089896
-0.616162, 0.095316
-0.595960, 0.101223
-0.575758, 0.107672
-0.555556, 0.114731
-0.535354, 0.122472
-0.515152, 0.130983
-0.494949, 0.140363
-0.474747, 0.150722
-0.454545, 0.162198
-0.434343, 0.174934
-0.414141, 0.189112
-0.393939, 0.204930
-0.373737, 0.222615
-0.353535, 0.242443
-0.333333, 0.264703
-0.313131, 0.289745
-0.292929, 0.317946
-0.272727, 0.349708
-0.252525, 0.385470
-0.232323, 0.425659
-0.212121, 0.470613
-0.191919, 0.520630
-0.171717, 0.575689
-0.151515, 0.635353
-0.131313, 0.698886
-0.111111, 0.764212
-0.090909, 0.828795
-0.070707, 0.889025
-0.050505, 0.940061
-0.030303, 0.977289
-0.010101, 0.997351
0.010101, 0.997351
0.030303, 0.977289
0.050505, 0.940061
0.070707, 0.889025
0.090909, 0.828795
0.111111, 0.764212
0.131313, 0.698886
0.151515, 0.635353
0.171717, 0.575689
0.191919, 0.520630
0.212121, 0.470613
0.232323, 0.425659
0.252525, 0.385470
0.272727, 0.349708
0.292929, 0.317946
0.313131, 0.289745
0.333333, 0.264703
0.353535, 0.242443
0.373737, 0.222615
0.393939, 0.204930
0.414141, 0.189112
0.434343, 0.174934
0.454545, 0.162198
0.474747, 0.150722
0.494949, 0.140363
0.515152, 0.130983
0.535354, 0.122472
0.555556, 0.114731
0.575758, 0.107672
0.595960, 0.101223
0.616162, 0.095316
0.636364, 0.089896
0.656566, 0.084912
0.676768, 0.080319
0.696970, 0.076079
0.717172, 0.072158
0.737374, 0.068526
0.757576, 0.065155
0.777778, 0.062021
0.797980, 0.059104
0.818182, 0.056384
0.838384, 0.053843
0.858586, 0.051469
0.878788, 0.049246
0.898990, 0.047160
0.919192, 0.045197
0.939394, 0.043356
0.959596, 0.041640
0.979798, 0.040025
1.000000, 0.038462
